Link,Tên sản phẩm,Thương hiệu,Nhà bán,Giá hiện tại,Xuất xứ thương hiệu,Xuất xứ,Công nghệ âm thanh,Bluetooth,Bus,Camera,Card đồ họa,Card Reader,Chip set,Kết nối,CPU,Tốc độ CPU,Kích thước,Loại/ Công nghệ màn hình,Dung lượng ổ cứng,Loại ổ đĩa,Loại pin,Loại RAM,Cổng internet (LAN),Trọng lượng,RAM,Độ phân giải,Kích thước màn hình,Hệ điều hành,Wifi,Thời gian pin,Giao tiếp mạng,Model,Nơi sản xuất,Ổ đĩa quang,Thiết kế card,Bộ nhớ đồ họa,Kết nối không dây khác,Cân nặng,Thời gian sạc,Hiển thị màu sắc,Nhà sản xuất
https://tiki.vn/laptop-hp-probook-440-g8-2h0s4pa-core-i5-1135g7-4gb-ddr4-256-gb-ssd-14-fhd-win10-hang-chinh-hang-p130093323.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=130093324&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.130093324,Laptop HP ProBook 440 G8 2H0S4PA (Core i5-1135G7/ 4GB DDR4/ 256 GB-SSD/ 14 FHD/ Win10) - Hàng Chính Hãng,HP,,20299000,Mỹ,Trung Quốc,,,,720p HD camera; IR Camera (select models),"Integrated: Intel Iris Xᵉ Graphics; Intel UHD Graphics, Discrete: NVIDIA GeForce MX450 (2 GB DDR5 dedicated) (Support HD Decode, DX12, and HDMI 1.4b.)",,,"3 Super Speed USB Type-A 5Gbps signaling rate (1 charging, 1 power); 1 SuperSpeed USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort); 1 RJ-45; 1 headphone/microphone combo; 1 HDMI 1.4b; 1 AC power (HDMI cable sold separately.)",Intel Core i5-1135G7 processor  1.6Ghz-6Mb,,32.19 x 21.39 x 1.99 cm,,256 GB PCIe NVMe Value M.2 SSD,,3 Cell,DDR4,,1.38 kg,4 GB,Full HD (1920 x 1080),14 inch,win10 Home 64,,,,,,,,,,,,,
https://tiki.vn/laptop-acer-aspire-a315-56-59xy-nx-hs5sv-003-core-i5-1035g1-4gb-ram-256gb-ssd-15-6-fhd-win-10-hang-chinh-hang-p53827004.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=57142342&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.57142342,Laptop Acer Aspire A315-56-59XY NX.HS5SV.003 (Core i5 1035G1/ 4GB RAM/ 256GB SSD/ 15.6  FHD/  Win 10) - Hàng Chính Hãng,Acer,,12870000,Đài Loan,Trung Quốc,,,,HD,,,Intel," 1 x 2.5"" SATA , 1 x M.2 NVMe",Intel Core i5 1035G1,1.0 GHz - 3.6 GHz,36.34 x 24.75 x 1.99 cm,Acer ComfyView LED LCD,256GB,SSD,Pin liền,DDR4 2400MHz,Gigabit,1.7 kg,4 GB,Full HD (1920 x 1080),15.6 inch,Win 10 Home,,,,,,None,,,,,,,
https://tiki.vn/surface-pro-7-core-i5-ram-8gb-ssd-256gb-brand-new-hang-chinh-hang-giao-mau-ngau-nhien-p47370477.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=47370478&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.47370478,Surface Pro 7 Core I5 Ram 8Gb Ssd 256Gb Brand New - Hàng chính hãng  ( giao màu ngẫu nhiên ),Surface,,28090000,Mỹ,Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://tiki.vn/laptop-acer-aspire-3-a315-56-37dv-nx-hs5sv-001-core-i3-1005g1-4gb-ram-256gb-ssd-15-fhd-win10-hang-chinh-hang-p53827027.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=53827028&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.53827028,Laptop Acer Aspire 3 A315-56-37DV NX.HS5SV.001 (Core i3-1005G1/ 4GB RAM/ 256GB SSD/ 15 FHD/ Win10) - Hàng Chính Hãng,Acer,,12109000,Đài Loan,Trung Quốc,,v4.2,,HD,Intel UHD Graphics,,,,Intel Core i3-1005G1 ,1.2GHz up to 3.4GHz 4MB,363 x 247.5 x 19.9 (mm),,,,,SSD,10/100/1000 Mbps,1.7 kg,256GB,Full HD (1920 x 1080),15.6 inch,Windows 10 Home,802.11a/b/g/n/ac,,,,,None,,,,,,,
https://tiki.vn/laptop-hp-240-g8-519a4pa-core-i3-1005g1-4-gb-ddr4-256-gb-ssd-pcie-nvme-14-fhd-win10-hang-chinh-hang-p127363787.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=127363788&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.127363788,Laptop HP 240 G8 519A4PA (Core i3-1005G1/ 4 GB DDR4/ 256 GB SSD PCIe NVMe/ 14 FHD/ Win10) - Hàng Chính Hãng,HP,,13499000,Mỹ,Trung Quốc,"Stereo speakers, integrated digital microphone",Bluetooth 4.2,3200 MHz,720p HD camera,Intel UHD Graphics for 10th Gen Intel Processors,,,"2 x USB 3.1 Gen 1 Type-A, 1 x USB 3.1 Gen 1 Type-C, 1 x HDMI 1.4, 1 headphone/microphone combo","Intel Core i3-1005G1 (4M Cache, 1.2 upto 3.4 GHz)",,32.4 x 22.59 x 1.99 cm,"Narrow bezel, anti-glare, 250 nits, 45% NTSC",1 x 256 GB PCIe NVMe M.2 SSD,SSD,"Li-ion 3 cell, 41 Wh",DDR4,10/100/1000 Mbps,1.47 kg,4 GB DDR4-3200 MHz RAM (1 x 4 GB),Full HD (1920 x 1080),14 inch,Windows 10 Home 64 bit,Realtek 802.11a/b/g/n/ac (1x1),,,,,,Tích hợp,Share,,,,,
https://tiki.vn/laptop-asus-rog-strix-g15-g513qr-hq264t-amd-r9-5900hx-16gb-8x2-ddr4-3200mhz-512gb-ssd-pcie-g3x4-rtx-3070-8gb-gddr6-15-6-fhd-ips-non-glare-300hz-3ms-win10-hang-chinh-hang-p132820479.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=132820482&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.132820482,"Laptop Asus ROG Strix G15 G513QR-HQ264T (AMD R9-5900HX/ 16GB (8x2) DDR4 3200MHz/ 512GB SSD PCIE G3X4/ RTX 3070 8GB GDDR6/ 15.6 FHD, IPS Non-Glare, 300Hz/3ms/ Win10) - Hàng Chính Hãng",Asus,Tiki Trading,47089000,Đài Loan,Trung Quốc,Dolby Atmos,v5.1,3200MHz,,NVIDIA GeForce RTX 3070 8GB GDDR6 With ROG Boost up to 1660MHz at 115W (130W with Dynamic Boost),,,"1x Type C USB 3.2 Gen 2 with Power Delivery and Display Port, 3x USB 3.2 Gen 1 Type-A, 1x HDMI 2.0b, 1x 3.5mm Combo Audio Jack, 1x RJ45 LAN Jack",AMD Ryzen 9 5900HX ,3.3GHz up to 4.6GHz 16MB,35.4 x 25.9 x 2.26 ~ 2.72 (cm),"IPS Non-Glare, NanoEdge, 100% sRGB, 300nits, 300Hz/3ms, Adaptive-Sync",512GB SSD PCIE G3X4 (Còn trống 1 khe SSD M.2 PCIE),,4 Cell 90WHrs,DDR4,10/100/1000 Base T,2.3 kg,"16GB (8x2) DDR4 3200MHz (2x SO-DIMM socket, up to 32GB SDRAM)",Full HD (1920 x 1080),15.6 inch,Windows 10 Home,Intel 802.11ax (2x2) Wi-Fi 6 (Gig+),,,,,,Rời,,,,,,
https://tiki.vn/laptop-hp-340s-g7-240q3pa-i3-1005g1-4gb-256gb-ssd-14-0-win10-hang-chinh-hang-p116369218.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=128869356&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.128869356,Laptop HP 340s G7 240Q3PA (i3-1005G1/4GB/256GB SSD/14.0/Win10) Hàng chính hãng,HP,,13690000,Mỹ,Trung Quốc,,Bluetooth 5.0,,HD webcam,Intel UHD Graphics, Intel UHD Graphics, Intel Core i3-1005G1," WiFi 802.11ac , Bluetooth 5.0", Intel Core i3-1005G1,"1.2 GHz - 3.4 GHz / 4MB / 2 nhân, 4 luồng",,"14"" ( 1366 x 768 ) HD TN không cảm ứng , Màn hình chống lóa ",256GB,,"3 cell 42 Wh , Pin liền",DDR4 2666MHz,,1.4 kg,4GB DDR4 2666MHz,,,,WiFi 802.11ac,,,240Q3PA,,,Intel UHD Graphics,Intel UHD Graphics," WiFi 802.11ac , Bluetooth 5.0",,,,HP
https://tiki.vn/hyperdrive-gen2-12-in-1-for-macbook-ipad-pro-2018-2020-pc-devices-g212-chinh-hang-p72864540.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=72864541&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.72864541,"Hyperdrive Gen2 12-In-1 For Macbook, Ipad Pro 2018-2020, PC & Devices (G212)-chính hãng",Hyper,,3290000,USA,china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://tiki.vn/laptop-hp-240-g8-3d0e1pa-core-i5-1135g7-4gb-256gb-intel-iris-xe-14-0-inch-fhd-win-10-bac-hang-chinh-hang-p133629975.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=133629976&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.133629976,Laptop HP 240 G8 3D0E1PA (Core i5-1135G7 | 4GB | 256GB | Intel Iris Xe | 14.0 inch FHD | Win 10 | Bạc) - Hàng chính hãng,HP,,17390000,Mỹ,Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://tiki.vn/laptop-lg-gram-2021-16z90p-g-ah75a5-core-i7-1165g7-16gb-lpddr4x-512gb-ssd-nvme-16-wqxga-ips-win10-hang-chinh-hang-p92610140.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=92610141&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.92610141,Laptop LG Gram 2021 16Z90P-G.AH75A5 (Core i7-1165G7/ 16GB LPDDR4X/ 512GB SSD NVMe/ 16 WQXGA IPS/ Win10) - Hàng Chính Hãng,LG,Tiki Trading,50900000,Hàn Quốc,Trung Quốc,HD Audio with DTS X Ultra,BT 5.1,,HD Webcam with Dual Mic.,"Intel Iris Xe Graphics (i7,i5) ",UFS/ Micro SD,,"HP-Out(4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)","Intel 11th Generation i7(Quad Core) 'i7-1165G7 (2.8 GHz, Turbo up to 4.7 GHz, L3 Cache 12MB, 28W) - QC",,"
355.9 x 243.4 x 16.8 mm
14.01 x 9.58 x 0.66""
","16.0"" (40.6cm) WQXGA (2560*1600) IPS LCD, (Non-Touch), DCI-P3 99% (Typical, min 95%) ",M.2(2280) Dual SSD slots - NVME:  512GB,,80 Wh Li-Ion,,,"1,190g / 2.62 lbs",16GB LPDDR4X (Dual Channel),,16 inch,,"Intel Wireless-AX201 (802.11ax, 2x2, Dual Band, BT Combo)",MobileMark 2018:  Up to 16.5 hours; MobileMark 2014:  Up to 22 hours; Video playback:  Up to 24.5 hours; JEITA 2.0:  Up to 30 hours,,,,,,,,,,,
https://tiki.vn/laptop-dell-gaming-g5-15-5500-g5500b-core-i7-10750h-16gb-ddr4-1tb-ssd-15-6-fhd-wva-300hz-rtx-2070-8gb-gddr6-win10-hang-chinh-hang-p127360242.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=127360243&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.127360243,"Laptop Dell Gaming G5 15 5500 G5500B (Core i7-10750H/ 16GB DDR4/ 1TB SSD/ 15.6 FHD (WVA), 300Hz/ RTX 2070 8GB GDDR6/ Win10) - Hàng Chính Hãng",Dell,,37499000,Mỹ,Trung Quốc,,v5.0,,,NVIDIA(R) GeForce RTX 2070 8GB GDDR6,,,,"Intel Core i7-10750H (12MB Cache, 2.60 GHz, Turbo Boost 5.0 GHz)",,"24.5mm x 365.5mm x 254mm
2.34kg",15.6'' FHD (WVA) 300Hz - IPS,1TB SSD PCIe,,"4-Cell, 68 Whr",16GB (2x8GB) DDR4 2933MHz,,,,,,Windows 10 Home SL,802.11ac,"4-Cell, 68 Whr",,G5500B,,,,,,,,,
https://tiki.vn/laptop-dell-vostro-3405-v4r53500u001w-amd-r5-3500u-4gb-256gb-pcie-14-fhd-win10-hang-chinh-hang-p118526595.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=118526612&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.118526612,Laptop Dell Vostro 3405 V4R53500U001W (AMD R5-3500U/ 4GB/ 256GB PCIE/ 14 FHD/ Win10) - Hàng Chính Hãng,Dell,,15199000,Mỹ,Trung Quốc,,v5.0,,,,,,,"AMD Ryzen 5-3500U, 2.10GHz upto 3.70GHz, 4 MB cache, 4 cores 8 threads",,32.8 x 23.9 x 1.99 cm,14.0 inch FHD (1920 x 1080) Anti-Glare,256GB SSD M2 PCIe NVMe,,3 cell - 45Whr,4GB DDR4 2400Mhz,,1.64 kg,,,14 inch,Windows 10 SL,802.11ac 1x1 WiFi,,,V4R53500U001W,,,,AMD Radeon Graphics,Wi-Fi / Bluetooth,,,,
https://tiki.vn/laptop-dell-vostro-3510-7t2yc1-core-i5-1135g7-8gb-512gb-ssd-15-6-fhd-win10-office-hang-chinh-hang-p129937277.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=129937278&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.129937278,Laptop Dell Vostro 3510 7T2YC1 (Core i5-1135G7/ 8GD4/ 512GB SSD/ 15.6 FHD/ Win10 + Office) - Hàng Chính Hãng,Dell,,19999000,Mỹ,Trung Quốc,"Stereo speakers, 2 W x 2",v5.0,2666Mhz,HD,Intel Iris Xe Graphics,SD,,	1 USB 3.2 Gen 1 port (on systems configured with discrete graphics); 1 USB 3.2 Gen 1 Type-C port (on systems configured with discrete graphics);1 USB 2.0 port; 1 Audio jack; HDMI 1.4 port,Intel Core i5 1135G7 (2.4Ghz/8MB cache),,,Anti-glare LED Backlight WVA,256GB PCIe NVMe SSD (khả năng nâng cấp tối đa : 2TB 2.5” 2.5” SATA HDD ; 512GB SSD M2 2230 / 1TB SSD M2 2280),,3 cell 41Wh,DDR4,,1.69Kg,8GB DDR4 2666Mhz (1 *8GB),Full HD (1920 x 1080),15.6 inch,Win 10 Home SL 64,802.11ac,,,,,,,,,,,,
https://tiki.vn/laptop-lenovo-v15-g2-itl-82kb00csvn-core-i7-1165g7-8gb-ddr4-3200mhz-onboard-512gb-ssd-m-2-2242-pcie-15-6-fhd-dos-hang-chinh-hang-p132221840.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=132221841&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.132221841,Laptop Lenovo V15 G2 ITL 82KB00CSVN (Core i7-1165G7/ 8GB DDR4 3200MHz Onboard/ 512GB SSD M.2 2242 PCIe/ 15.6 FHD/ DOS) - Hàng Chính Hãng,Lenovo,,18939000,Trung Quốc,Trung Quốc,Dolby Advanced Audio,v5.0,,0.3MP with Privacy Shutter,Intel Iris Xe Graphics,,,"1x USB-C 3.2 Gen 1 (support data transfer only), 1x USB 3.2 Gen 1, 1x USB 2.0, 1x Power connector, 1x Ethernet (RJ-45) 1x HDMI 1.4b, 1x Headphone / microphone combo jack (3.5mm)",Intel Core i7-1165G7 2.8GHz up to 4.7GHz 12MB,,,"TN, Anti-Glare, 250nits, 45% NTSC","512GB SSD M.2 2242 PCIe 3.0x4 NVMe (Còn trống 1 khe 2.5"" SATA)",,3 Cells 45WHrs,,100/1000M,1.7kg,"8GB DDR4 3200MHz Onboard (1x SO-DIMM socket, up to 16GB SDRAM)",,15.6 inch,,802.11AC (2x2),,,V15 G2 ITL 82KB00CSVN,,,,,,,,,
https://tiki.vn/laptop-hp-gaming-victus-16-e0175ax-4r0u8pa-amd-r5-5600h-8-gb-ddr4-3200mhz-rtx-3050-4gb-512-gb-pcie-nvme-m-2-ssd-32gb-ssd-16-1-fhd-144hz-win10-hang-chinh-hang-p125278584.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=125278602&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.125278602,Laptop HP Gaming VICTUS 16-e0175AX 4R0U8PA (AMD R5-5600H/ 8 GB DDR4-3200Mhz/ RTX 3050 4GB/ 512 GB PCIe NVMe M.2 SSD + 32GB SSD/ 16.1 FHD 144Hz/ Win10) - Hàng Chính Hãng,HP,,23799000,Mỹ,Trung Quốc,Audio by B&O; Dual speakers; HP Audio Boost 1.0,Bluetooth 5 Combo (Supporting Gigabit file transfer speeds),3200Mhz,HP Wide Vision HD camera with integrated dual array digital microphone,NVIDIA GeForce GTX 1650 4GB,Có,,,"AMD Ryzen 5 5600H 3.3Gnz up to 4.2Ghz, 6 core 8 thread, L2 cache 3Mb, L3 cache 16Mb",,37x26x2.35cm,,512 GB PCIe NVMe M.2 SSD,SSD,"4-cell, 72 Wh Li-ion",DDR4,Integrated 10/100/1000 GbE LAN,2.46 kg,8 GB,Full HD (1920 x 1080),16.1 inch,Windows 10 Home Single Language 64,Wi-Fi 6 AX 201 (2x2),,,,,,,,,,,,
https://tiki.vn/laptop-dell-vostro-3500-7g3981-core-i5-1135g7-8gb-ddr4-3200mhz-256gb-ssd-m-2-pcie-15-6-fhd-win10-hang-chinh-hang-p81440354.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=81440356&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.81440356,Laptop Dell Vostro 3500 7G3981 (Core i5-1135G7/ 8GB DDR4 3200MHz/ 256GB SSD M.2 PCIE/ 15.6 FHD/ Win10) - Hàng Chính Hãng,Dell,,19990000,Mỹ,Trung Quốc,Realtek ALC3204,v4.2,,HD Webcam,Intel Iris Xe Graphics,SD 3.0 card,Intel Core i5,"2x USB 3.2 Gen 1 Type-A, 1x USB 2.0 Type-A, 1x HDMI, RJ-45",Intel Core i5-1135G7 2.4GHz up to 4.2GHz 8MB,2.4GHz up to 4.2GHz,363.96 x 249 x 19.9 mm,Anti-Glare,"256GB SSD M.2 PCIE, 1x slot SATA3 2.5""",,3 Cell 42WHr,DDR4,10/100/1000 Mbps,1.98 kg,"8GB DDR4 3200MHz (2x SO-DIMM socket, up to 16GB SDRAM)",Full HD (1920 x 1080),15.6 inch,,802.11 AC,,,7G3981,,,,,,,,,
https://tiki.vn/laptop-lg-gram-2021-16zd90p-g-ax54a5-core-i7-1165g7-8gb-lpddr4x-512gb-ssd-nvme-16-wqxga-ips-nonos-hang-chinh-hang-p92610138.html?__s=ssdp&itm_medium=CPC&itm_source=tiki-reco&spid=92610139&itm_campaign=tiki-reco_UNK_DT_UNK_UNK_tiki-listing_UNK_p-category-mpid-listing-v1_202110220600_MD_PID.92610139,Laptop LG Gram 2021 16ZD90P-G.AX54A5 (Core i7-1165G7/ 8GB LPDDR4X/ 512GB SSD NVMe/ 16 WQXGA IPS/ NonOS) - Hàng Chính Hãng,LG,Tiki Trading,39900000,Hàn Quốc,Trung Quốc,HD Audio with DTS X Ultra,BT 5.1,,HD Webcam with Dual Mic.,"Intel Iris Xe Graphics (i7,i5) ",UFS/ Micro SD,,"HP-Out(4Pole Headset, US type), USB 3.2 Gen2x1 (x2), HDMI,  USB 4 Gen3x2 Type C (x2, with Power Delivery, Display Port, Thunderbolt 4)","Intel 11th Generation i5(Quad Core) i5-1135G7 (2.4 GHz, Turbo up to 4.2 GHz, L3 Cache 8MB, 28 W) - QC",,"
355.9 x 243.4 x 16.8 mm
14.01 x 9.58 x 0.66""
","16.0""(40.6cm) WQXGA (2560*1600) IPS LCD, (Non-Touch), DCI-P3 99% (Typical, min 95%)",M.2(2280) Dual SSD slots - NVME:  512GB,,80 Wh Li-Ion,,,"1,190g / 2.62 lbs",8GB LPDDR4X (Dual Channel),,16 inch,Non-OS,"Intel Wireless-AX201 (802.11ax, 2x2, Dual Band, BT Combo)",MobileMark 2018:  Up to 16.5 hours; MobileMark 2014:  Up to 22 hours; Video playback:  Up to 24.5 hours; JEITA 2.0:  Up to 30 hours,,,,,,,,,,,
